Removed Pin From Net: NetName=+VBAT Pin=D1-1
Removed Pin From Net: NetName=GND Pin=D1-2
Removed Pin From Net: NetName=3V3 Pin=P1-1
Removed Pin From Net: NetName=SWCLK Pin=P1-2
Removed Pin From Net: NetName=SWDIO Pin=P1-3
Removed Pin From Net: NetName=GND Pin=P1-4
Removed Pin From Net: NetName=+VBAT Pin=P2-1
Removed Pin From Net: NetName=GND Pin=P2-2
Removed Pin From Net: NetName=+VBAT Pin=P3-1
Removed Pin From Net: NetName=GND Pin=P3-2
Removed Pin From Net: NetName=FB2 Pin=P4-1
Removed Pin From Net: NetName=GND Pin=P4-2
Removed Pin From Net: NetName=FB1 Pin=P6-1
Removed Pin From Net: NetName=GND Pin=P6-2
Removed Pin From Net: NetName=FB1 Pin=P7-1
Removed Pin From Net: NetName=GND Pin=P7-2
Removed Member From Class: ClassName=Sheet1 Member=P1
Removed Member From Class: ClassName=Sheet1 Member=P2
Removed Member From Class: ClassName=Sheet1 Member=P3
Removed Member From Class: ClassName=Sheet1 Member=P4
Removed Member From Class: ClassName=Sheet1 Member=P5
Removed Member From Class: ClassName=Sheet1 Member=P6
Removed Member From Class: ClassName=Sheet1 Member=P7
Change Component Footprint: Designator=D1 Old Footprint=SOD123 New Footprint=SOD323
Change Component Comment : Designator=D1 Old Comment=1N4148W-TP New Comment=1N4148WS
Change Component Comment : Designator=C2 Old Comment=1uF New Comment=10uF
Change Component Comment : Designator=C3 Old Comment=1uF New Comment=10uF
Change Component Comment : Designator=C4 Old Comment=1uF New Comment=10uF
Change Component Comment : Designator=R3 Old Comment=10K New Comment=10K(DNM)
Change Component Comment : Designator=R1 Old Comment=100E New Comment=10K
Change component parameters: Designator = "Q1" ("Q1"); Footprint = "BC846"; UniqueID = "\UOUEJLNW" ("\UOUEJLNW")
Change component parameters (AddParameter): Name = "D"; Value = "Bipolar Transistors - BJT BC847/SOT23/TO-236AB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR"; Value = "Nexperia"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PN"; Value = "BC847,215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "URL"; Value = "https://www.mouser.in/ProductDetail/Nexperia/BC847215?qs=me8TqzrmIYWROhdFmDauyQ%3D%3D"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2" ("Q2"); Footprint = "SOT_523_P_MOS"; UniqueID = "\JKHTPAVA" ("\JKHTPAVA")
Change component parameters (AddParameter): Name = "D"; Value = "MOSFET 20V P-Ch Enh FET PD 0.24W MIN RDSon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P"; Value = "SOT-523-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PN"; Value = "DMP21D0UT-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "URL"; Value = "https://www.mouser.in/ProductDetail/Diodes-Incorporated/DMP21D0UT-7?qs=F5djdNSOT4bGXq%252B9HtekMQ%3D%3D"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "0603_R"; UniqueID = "\PWWNCOND" ("\PWWNCOND")
Change component parameters (AddParameter): Name = "D"; Value = "100R Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P"; Value = ""; VariantName = "[No Variations]"
