Field=Designator~String~Designator~120|Field=Quantity~Integer~Quantity~120|Field=D~String~D~100|Field=MFR~String~MFR~100|Field=P~String~P~100|Field=PN~String~PN~100|Field=URL~String~URL~100|Field=V~String~V~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SRT-WREN-25-22-V101.PrjPcb|ReportField=ProjectFullPath~C:\Users\Krishnawa\Documents\DEMO\original\101\BLE_DA14531\PCB\SRT-WREN-25-22-V101.PrjPcb|ReportField=Title~Bill of Materials For Project [SRT-WREN-25-22-V101.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~25|ReportField=ReportTime~1:05:00 PM|ReportField=ReportDate~8/27/2022|ReportField=ReportDateTime~8/27/2022 1:05:00 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~8/27/2022|ReportField=CurrentTime~1:04:26 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Krishnawa\Documents\DEMO\original\101\BLE_DA14531\PCB\Sheet3.SchDoc|ReportField=DocumentName~Sheet3.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~6/22/2022|ReportField=Organization~|ReportField=ProjectName~SRT-WREN-25-22-V101.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~3|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~SRT-WREN-25-22-V101.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Krishnawa\Documents\DEMO\original\101\BLE_DA14531\PCB\SRT-WREN-25-22-V101.PrjPcb
1|1|MOSFET 20V P-Ch Enh FET PD 0.24W MIN RDSon|Diodes Incorporated  |SOT-523-3 |DMP21D0UT-7  |https://www.mouser.in/ProductDetail/Diodes-Incorporated/DMP21D0UT-7?qs=F5djdNSOT4bGXq%252B9HtekMQ%3D%3D|
C1, C2, C3, C4|4|10 µF ±20% 4V Ceramic Capacitor X6S 0603 (1608 Metric), Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 100pF X7R 0805 5% AEC-Q200|KEMET, TDK Corporation|0603|C0805C101J1RACAUTO, C1608X6S0G106M080AC|https://www.digikey.in/en/products/detail/tdk-corporation/C1608X6S0G106M080AC/2732890, https://www.mouser.in/ProductDetail/KEMET/C0805C101J1RACAUTO?qs=B6kkDfuK7%2FBvhOkfk6gEhA%3D%3D|10uF, 100pf
D1|1|DIODE GEN PURP 100V 150MA SOD123|Micro Commercial|SOD 123|1N4148W-TP|https://www.digikey.in/en/products/detail/micro-commercial-co/1N4148W-TP/717311?utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=Dynamic%20Search_EN_Product&utm_term=&productid=&gclid=CjwKCAjwnZaVBhA6EiwAVVyv9PdJZoZyzgcvNw5JXZSw9GxKyyejtRW6ghYdHke2RZfO3pYj9waWxRoC6pYQAvD_BwE|
P1|1||||||
P2, P3|2|3 pin JST 1.25mm Through Hole Header Horizontal Right Angle, JST 3 Pin Battery Connector Plug 2.54mm|HatchnHack, Sunrom |JST-XH|6271, SKU: 2EE02|https://www.hnhcart.com/products/3-pin-jst-connector-male-2-54mm-pitch-pack-of-1000?gclid=CjwKCAjwnZaVBhA6EiwAVVyv9LuVSh4Y-Nx6TWwb9kOJQSZ1FFio1sfA1lcR6XJ00vgsSpWwAPVd2BoCl7YQAvD_BwE, https://www.sunrom.com/p/3-pin-jst-125mm-through-hole-header-horizontal-right-angle|
P4, P6, P7|3|2 pin JST 1.25mm Through Hole Header Horizontal Right Angle, FEEDBACK|Sunrom||6270|https://www.sunrom.com/p/2-pin-jst-125mm-through-hole-header-horizontal-right-angle|
P5|1|FEEDBACK|||||
Q1|1|Bipolar Transistors - BJT BC847/SOT23/TO-236AB|Nexperia|SOT-23|BC847,215|https://www.mouser.in/ProductDetail/Nexperia/BC847215?qs=me8TqzrmIYWROhdFmDauyQ%3D%3D|
R1, R5, R6|3|100R Resistor, Resistor|||||
R2, R3, R4, R7, R8|5|Resistor|||||
U1|1|DA14531MOD-00F01002|Dialog Semiconductor|SMD-16 Dialog Semiconductor|DA14531MOD-00F0100C|https://www.digikey.in/en/products/detail/dialog-semiconductor-gmbh/DA14531MOD-00F01002/11685947?s=N4IgTCBcDaICIEECMAWArAZiQWQPJwFoAGIgMSKRIgF0BfIA|
U2|1|IC REG LINEAR 3.3V 1A SOT89-5|Torex Semiconductor Ltd|SOT-89-5|XC6220B331PR-G|https://www.digikey.in/en/products/detail/torex-semiconductor-ltd/XC6220B331PR-G/2138172|
U3|1||||||
